step,value
0,81.982139
0,80.782916
0,81.269372
0,81.15439
0,82.148248
0,82.023045
0,82.483573
0,80.909316
0,81.546404
0,80.766862
0,81.017849
0,82.605282
10,80.835785
10,82.68232
20,81.777806
30,81.086614
40,82.560718
50,81.863369
50,80.962342
50,82.489983
70,81.373673
90,80.763662
130,81.939634
130,82.175377
130,81.12142
140,81.205728
150,81.801505
160,82.411498
160,81.336989
160,82.213616
170,82.369907
170,82.498739
180,81.980575
180,80.752288
210,81.25087
220,82.416293
260,81.603233
260,80.762807
300,82.623204
300,82.51321
310,81.44367
310,81.341849
310,81.239594
310,80.901687
340,81.279508
340,81.3958
340,81.217759
350,81.078674
360,81.797484
360,81.774285
370,82.675856
370,82.431848
370,81.453778
390,81.082563
390,82.144124
400,82.525461
420,81.015358
430,80.921805
430,82.58867
440,82.532377
450,82.391376
460,81.926679
460,80.975217
480,81.853303
480,81.530166
490,82.006084
510,80.880701
510,81.607676
520,81.805121
560,80.753388
560,82.526104
570,81.791127
590,81.390707
590,82.631997
600,82.471357
600,81.180407
610,81.843071
620,82.38393
620,82.44546
640,82.445557
660,80.933852
660,80.82612
660,81.025603
670,81.1753
680,81.74353
690,81.945852
690,81.393681
690,82.653044
730,81.790534
740,81.314834
770,81.006131
770,81.652221
790,81.492383
790,81.735131
800,81.111478
800,81.934822
810,80.907742
840,81.562262
840,81.167806
840,81.449815
850,82.376248
860,81.092071
860,81.419172
870,81.840604
900,81.888362
910,80.998721
910,82.32998
920,81.463788
920,80.907215
940,81.24432
950,81.528847
950,81.06418
960,81.618112
990,81.332709
990,81.529462
990,81.180532
