lambda_creation,theta,late_loans_per_alive_mean,late_loans_per_alive_sd,late_financial_density_mean,late_financial_density_sd,late_failures_per_step_mean,late_failures_per_step_sd,late_secondary_share_mean,late_secondary_share_sd,late_secondary_per_fragile_mean,late_secondary_per_fragile_sd,alive_final_mean,alive_final_sd
1,0.2,2.432329180916449,0.4190546576952756,0.14374025553271144,0.023966589850136756,0.06,0.02,0.03125,0.03125,0.03333333333333333,0.03333333333333333,465.5,24.5
1,0.35,5.730813509620347,0.13284074033854765,0.329564790930808,0.006805918592223348,1.1275,0.03749999999999998,0.17558176162538883,0.012491632870024028,0.21325510647544546,0.018383311603650587,267.0,9.0
1,0.5,6.952209911914203,0.5306686897351454,0.35885949368775893,0.0048242162206946215,1.1600000000000001,0.025000000000000022,0.3316790274912173,0.010093124407516862,0.49662837162837165,0.022602397602397628,254.0,24.0
1,0.7,6.638954987610848,1.010455864302641,0.36061630733444683,0.012750333508804862,1.31,0.0050000000000000044,0.2879317628891511,0.06187812304240782,0.4150454519136124,0.12296624399282033,237.5,24.5
2,0.2,1.3728017090362994,0.1366917702906485,0.0848136475325011,0.0080540268333876,0.005,0.005,0.0,0.0,0.0,0.0,894.5,21.5
2,0.35,4.292229000667513,0.07151872628018374,0.2783577229195579,0.0018745218259588747,1.1575,0.007500000000000062,0.11880947938048143,0.00292965105430118,0.13484091127559358,0.0037729501105450425,666.5,33.5
2,0.5,4.373458362360355,0.34662834323865965,0.2934200038964728,0.01590651422867606,1.31,0.19999999999999996,0.14193663862538036,0.02031501700375872,0.16606871389480085,0.027607175433262382,634.0,61.0
2,0.7,5.366917938849111,0.6800161445201787,0.333241629614203,0.019308281166880742,1.7475,0.3224999999999999,0.2542461225527587,0.03319349097381134,0.3435868071461292,0.059803023362345414,530.5,68.5
3,0.2,0.9095952817799469,0.16130279972565048,0.05660353295762906,0.009986466233631808,0.0025,0.0025,0.0,0.0,0.0,0.0,1307.5,13.5
3,0.35,2.5596364554292617,0.37276252022033085,0.17789484723405435,0.025345930506169446,0.23,0.17,0.025,0.025,0.02631578947368421,0.02631578947368421,1248.0,68.0
3,0.5,3.293356852320448,0.046202481437267684,0.23126759846891096,0.0005891711409657108,0.7875,0.08750000000000002,0.08071428571428571,0.012142857142857143,0.08799091831312497,0.014371286411284476,1141.5,14.5
3,0.7,3.760426373328184,0.3085610130114844,0.2628794052593317,0.019206403911284586,1.3225,0.25249999999999995,0.15188399347277853,0.016369974781189747,0.17952341654631732,0.02276665978956055,1058.5,42.5
4,0.2,0.5554701832535556,0.06024658934839647,0.03413001228887045,0.003864476173114228,0.0,0.0,0.0,0.0,0.0,0.0,1732.5,17.5
4,0.35,1.4893738607881706,0.16754054502231985,0.10667484304722002,0.011513776729230582,0.0225,0.0025000000000000005,0.0,0.0,0.0,0.0,1676.0,19.0
4,0.5,2.489425393696588,0.09817695987196928,0.18184092253202963,0.004716024719439937,0.3225,0.04749999999999999,0.06339066339066339,0.009336609336609333,0.06778711484593837,0.010644257703081233,1656.5,36.5
4,0.7,2.6223417345538014,0.08993055879515377,0.19347687798374258,0.0045434036546901785,0.4125,0.0325,0.05070963926670609,0.02823772915434654,0.054351395730706076,0.03136288998357964,1607.5,32.5
